,x,y,HV_1a,HV_1c,HV_1e,HV_1g,HV_2a,HV_2c,HV_2e,HV_2g
0,0.0,0.0,365.9249969482422,365.9249969482422,365.9249969482422,365.9249969482422,403.8205596923828,403.8205596923828,403.8205596923828,403.8205596923828
1,0.0,0.1,426.5895446777344,372.74485473632814,372.74485473632814,372.74485473632814,379.02130737304685,463.14794616699214,463.14794616699214,463.14794616699214
2,0.0,0.2,441.43916015624995,375.9414123535156,375.9414123535156,375.9414123535156,347.568505859375,477.61808471679683,477.61808471679683,477.61808471679683
3,0.0,0.3,452.9916717529297,379.9935668945313,379.9935668945313,379.9935668945313,318.8411560058594,500.6174652099609,500.6174652099609,500.6174652099609
4,0.0,0.4,461.69863281249997,384.3266235351563,384.3266235351563,384.3266235351563,299.8290496826172,512.7625885009766,512.7625885009766,512.7625885009766
5,0.0,0.5,468.25890502929684,386.85797729492185,386.85797729492185,386.85797729492185,286.2790313720703,526.6862701416015,526.6862701416015,526.6862701416015
6,0.0,0.6,471.4568908691406,388.0772399902344,388.0772399902344,388.0772399902344,281.05532531738277,540.6249755859375,540.6249755859375,540.6249755859375
7,0.0,0.7,471.5893585205078,387.51745300292964,387.51745300292964,387.51745300292964,278.6111206054687,557.6990142822266,557.6990142822266,557.6990142822266
8,0.0,0.8,475.8397979736328,381.462744140625,381.462744140625,381.462744140625,281.9069396972656,552.9418701171875,552.9418701171875,552.9418701171875
9,0.0,0.9,463.2644226074219,362.06586303710935,362.06586303710935,362.06586303710935,292.4792053222656,475.5217926025391,475.5217926025391,475.5217926025391
10,0.1,0.0,409.74786987304685,399.4989898681641,426.5895446777344,346.87294006347656,439.8371337890625,390.2931976318359,334.120458984375,438.90199279785156
11,0.2,0.0,428.09439697265617,413.41484375,441.43916015624995,330.0700744628906,480.8096740722656,373.20904541015625,300.7907287597656,459.7623931884766
12,0.3,0.0,434.0314575195312,424.8404205322266,452.9916717529297,324.8984802246094,534.6224609374999,397.09519348144534,304.4487640380859,487.25783081054686
13,0.4,0.0,435.0569702148438,428.5720397949218,461.69863281249997,321.16900634765625,589.6759429931641,336.25758666992186,536.4699188232422,528.9620819091797
14,0.5,0.0,436.95879821777345,429.4084106445313,468.25890502929684,316.6271179199219,618.8147155761719,324.5633880615234,347.299105834961,557.8953033447266
15,0.6,0.0,441.6673217773437,426.9106048583984,471.4568908691406,309.5177978515625,621.1028930664062,326.0721588134765,374.132763671875,563.5532318115233
16,0.7,0.0,437.9325927734375,420.0607452392578,471.5893585205078,300.52704467773435,606.2251495361328,336.2690521240234,396.63280029296874,546.3276367187499
17,0.8,0.0,409.9809875488281,414.3202301025391,475.8397979736328,295.5482696533203,582.2491149902343,351.0596130371094,410.79541015625,497.1721862792969
18,0.9,0.0,402.82945251464844,404.22133483886716,463.2644226074219,328.9418701171875,547.0246215820312,365.54060058593745,407.8241027832031,436.25977478027346
19,0.1,0.1,456.5671722412109,406.0946411132813,424.4495391845703,381.4280090332031,410.87792358398434,445.5989013671875,410.0555084228516,493.1505126953125
20,0.1,0.2,467.1305297851562,409.5086517333984,422.6476623535156,392.0255249023437,376.2554504394531,465.6390350341797,447.1812927246094,502.53234863281256
21,0.1,0.3,474.8079498291016,408.60522155761714,419.466796875,396.92437438964845,335.626870727539,487.82854003906255,468.3304992675781,524.8491302490233
22,0.1,0.4,486.26491088867186,404.1736999511719,416.5902099609375,398.9215942382812,316.21397399902344,505.61532897949223,485.50157775878904,543.3211975097656
23,0.1,0.5,494.5631866455078,400.0769378662109,415.36358947753905,397.72223205566405,311.46027526855465,520.6295288085937,502.0733459472656,575.2194946289062
24,0.1,0.6,497.6118957519531,396.17755737304685,412.6015380859375,387.3970642089843,317.01740722656245,539.8451721191407,526.1093963623047,606.1714355468749
25,0.1,0.7,531.1387207031249,387.1707550048828,409.5064208984375,356.4331604003906,322.4906921386719,553.9603088378906,543.8231750488281,615.21015625
26,0.1,0.8,569.4064697265625,360.79029846191406,400.5975677490234,291.80809173583987,331.1940612792969,526.395327758789,527.5441467285157,576.2348815917968
27,0.2,0.1,462.9490631103516,424.9238800048828,440.43218688964845,359.2673614501953,440.859634399414,433.7786865234375,416.83216247558596,524.8174896240234
28,0.3,0.1,465.51062927246096,434.25083923339844,451.2041473388672,349.88969116210933,483.3812713623047,432.1197631835937,433.98647155761716,549.8434814453125
29,0.4,0.1,471.4147033691406,435.6479858398437,460.92494506835936,345.5172119140625,530.6735107421874,436.01739501953125,446.4861785888672,576.4818725585938
30,0.5,0.1,474.3002624511719,436.5364013671875,467.791650390625,338.74412231445314,574.9589874267577,449.8782257080078,455.98910827636723,587.3073852539062
31,0.6,0.1,474.4265563964844,437.2476898193359,468.6884094238281,325.5282501220703,564.6929656982422,457.3484466552734,463.55910949707027,572.7747314453125
32,0.7,0.1,464.08147583007815,428.4939300537109,463.9390960693359,306.01805725097654,534.3302490234374,458.6056915283203,473.5375213623047,550.3502990722656
33,0.8,0.1,495.1356872558594,427.5961639404297,455.79978637695314,293.4011749267578,482.6826477050781,459.0555389404297,482.17868041992193,463.4950988769531
34,0.2,0.2,473.4350830078125,427.987548828125,443.9106719970703,380.2004913330078,397.0006103515625,462.1234344482422,454.38525085449214,522.1080932617188
35,0.2,0.3,486.93451843261715,427.749838256836,447.5366668701172,387.03737792968747,383.9210906982422,482.521875,469.68325805664057,563.8997680664063
36,0.2,0.4,500.4500396728515,425.1770904541015,436.2007171630859,389.0117431640625,377.8189331054688,498.04375,485.79441528320314,599.7920532226562
37,0.2,0.5,508.06950988769535,420.4533264160156,430.35957031249995,383.09618835449214,383.9977020263672,514.1230621337891,500.5200744628906,636.3008178710937
38,0.2,0.6,556.8401916503906,411.0248260498047,424.72553710937495,352.29212951660156,389.23359985351567,534.8115051269531,524.6854797363281,652.8504272460938
39,0.2,0.7,611.2552307128906,397.19111328124995,419.0139862060547,305.2831115722656,394.24501342773436,535.5872985839844,532.4019042968749,614.941796875
40,0.3,0.2,482.4287567138672,437.4315521240234,450.5235931396484,368.9503448486328,429.7928985595703,464.67450256347655,464.03559570312495,553.2498229980469
41,0.4,0.2,492.389859008789,436.57753906249997,459.1405914306641,361.77990112304684,466.8191741943359,471.1354248046875,472.35723266601565,587.3518676757812
42,0.5,0.2,503.6018859863281,436.8001739501953,463.72609558105466,353.7553802490234,497.89309082031247,473.11269531249997,479.0837982177734,609.6688110351562
43,0.6,0.2,522.8025787353515,436.6551666259765,458.8350555419922,335.5389007568359,490.0901336669922,472.7423095703125,483.7347076416015,624.3393280029296
44,0.7,0.2,586.2160278320313,434.1586547851563,450.9400939941406,306.01964111328124,449.5898071289062,470.216259765625,491.74195556640626,599.9255828857422
45,0.3,0.3,500.7594909667969,435.57495117187494,449.8072967529297,377.70342102050785,412.6559631347656,479.64032592773435,479.5803131103516,612.6977844238281
46,0.3,0.4,515.96171875,430.8752899169922,443.7480834960937,376.0723114013672,414.23743896484376,492.61737060546875,494.06988525390625,648.7310791015625
47,0.3,0.5,564.2221801757812,423.7334350585938,436.6381042480469,356.5071319580078,424.080728149414,507.8394378662109,501.49711303710933,670.0226318359374
48,0.3,0.6,632.3624755859374,416.2140197753906,429.0813262939453,315.03000793457034,429.05874023437497,522.5921173095703,514.3802551269531,636.626904296875
49,0.4,0.3,518.4653594970703,435.91034240722655,454.8931121826172,368.25433044433595,438.33342895507815,480.70507812500006,487.4277252197266,642.9187133789062
50,0.5,0.3,550.2903076171875,432.4656951904297,453.84198303222655,351.3713287353516,452.7708404541015,482.406021118164,493.4420471191406,665.1221313476562
51,0.6,0.3,626.7733459472656,436.75665588378905,445.9394226074219,318.44181518554683,444.8524719238281,481.73097839355466,496.4830413818359,649.2957458496094
52,0.4,0.4,562.8005401611329,429.26283569335936,446.59825439453124,356.75104064941405,438.2146484375,491.5841125488281,499.45311584472654,674.569854736328
53,0.4,0.5,640.5128662109375,425.44703979492186,437.2288421630859,321.7051940917969,441.248779296875,500.068798828125,501.5657135009765,648.6596069335938
54,0.5,0.4,636.8977722167969,433.2618835449219,442.67414855957037,323.5403045654297,447.50634765625,488.76174316406247,498.62310180664065,654.595654296875
