,x,y,EL_1b,EL_1d,EL_1f,EL_1h,EL_2b,EL_2d,EL_2f,EL_2h
0,0.0,0.0,31.37145767211914,31.37145767211914,31.37145767211914,31.37145767211914,20.968475246429442,20.968475246429442,20.968475246429442,20.968475246429442
1,0.0,0.1,25.946819400787355,25.946819400787355,25.946819400787355,18.67590398788452,15.129988288879394,15.129988288879394,15.129988288879394,22.12753858566284
2,0.0,0.2,20.35936040878296,20.35936040878296,20.35936040878296,13.0793381690979,6.933958339691162,6.933958339691162,6.933958339691162,23.013201904296874
3,0.0,0.3,17.96020059585571,17.96020059585571,17.96020059585571,12.807271003723143,6.640303087234496,6.640303087234496,6.640303087234496,24.5440110206604
4,0.0,0.4,16.35389280319214,16.35389280319214,16.35389280319214,12.904071044921874,7.488220357894897,7.488220357894897,7.488220357894897,25.117764568328855
5,0.0,0.5,14.927621459960937,14.927621459960937,14.927621459960937,12.555051708221434,7.772304391860962,7.772304391860962,7.772304391860962,28.608002090454104
6,0.0,0.6,13.61358003616333,13.61358003616333,13.61358003616333,12.1682373046875,7.4079571723937985,7.4079571723937985,7.4079571723937985,28.133319854736325
7,0.0,0.7,12.622768306732178,12.622768306732178,12.622768306732178,12.239698982238771,6.313755130767823,6.313755130767823,6.313755130767823,26.71936502456665
8,0.0,0.8,15.252036571502684,15.252036571502684,15.252036571502684,11.576478576660156,9.309077548980712,9.309077548980712,9.309077548980712,25.96966209411621
9,0.0,0.9,17.96169242858887,17.96169242858887,17.96169242858887,12.442453861236572,18.2447678565979,18.2447678565979,18.2447678565979,24.052921295166016
10,0.1,0.0,34.11080341339111,18.67590398788452,33.5073802947998,23.3013427734375,21.55497283935547,21.281916332244872,21.06128387451172,20.639328479766842
11,0.2,0.0,33.81372585296631,13.0793381690979,33.44609622955322,19.277955055236816,22.061099147796632,21.501060009002686,20.52617349624634,19.706471157073974
12,0.3,0.0,32.88308982849121,12.807271003723143,32.70225677490234,8.069683814048767,20.675795459747313,18.021333885192874,24.225968742370608,19.175762557983397
13,0.4,0.0,32.48256435394287,12.904071044921874,32.53233547210693,5.897477531433106,16.184834957122803,27.056332874298096,16.987956619262697,18.64424533843994
14,0.5,0.0,32.648030281066895,12.555051708221434,32.52382259368896,5.013529109954834,15.814421033859253,10.363208961486817,13.275407958030701,16.389611339569093
15,0.6,0.0,35.276016807556154,12.1682373046875,32.99964561462402,5.340354895591736,20.05584850311279,7.409162011742592,8.939201736450196,11.77220859527588
16,0.7,0.0,39.34312973022461,12.239698982238771,33.16527900695801,8.449016237258911,26.450440216064454,8.373754405975342,5.951059055328369,8.731772136688232
17,0.8,0.0,35.81571922302246,11.576478576660156,29.307231140136718,16.769634103775022,22.63426399230957,17.106052112579345,9.36069779396057,10.618921184539795
18,0.9,0.0,22.557455921173094,12.442453861236572,23.88422317504883,17.8170166015625,16.72763204574585,24.66351499557495,15.945604038238525,14.22181034088135
19,0.1,0.1,23.98889789581299,14.23903284072876,23.963778018951416,11.728835582733154,11.965518379211426,6.848373985290527,9.547191190719605,19.798036289215087
20,0.1,0.2,21.593863105773927,12.462355518341063,19.955350399017334,11.390718555450437,5.783247423171996,7.600913763046265,6.0706463813781735,18.60076675415039
21,0.1,0.3,20.638499450683593,11.971958160400389,17.10503969192505,12.154663944244385,7.268867397308349,8.95310297012329,7.4614674091339115,20.472800636291502
22,0.1,0.4,21.005990314483643,11.930671977996827,15.638839054107665,12.43880786895752,8.475992012023925,9.816876220703124,8.651045608520507,22.780755233764648
23,0.1,0.5,20.944838523864746,11.723529052734376,13.980304050445557,11.933486843109131,9.221529388427735,10.220051574707032,9.42185354232788,24.38301639556885
24,0.1,0.6,17.21175627708435,11.201631927490235,12.58416862487793,11.048742771148682,8.037578678131103,9.70864429473877,9.190892887115478,23.915625286102294
25,0.1,0.7,7.729310178756714,10.969402837753297,13.36991491317749,9.911972522735596,2.863488668203354,6.713825607299805,6.961098718643188,22.298831844329833
26,0.1,0.8,15.567288494110107,15.307964515686034,25.84576416015625,5.775486135482788,13.77863721847534,8.574308300018311,10.886808109283445,28.716892814636232
27,0.2,0.1,21.893486785888673,11.93108081817627,23.95121545791626,10.067458677291869,8.001399898529053,6.3322434425354,5.844005393981933,15.450324440002442
28,0.3,0.1,21.291233825683594,12.670697116851805,23.505434131622312,8.92951111793518,5.654867196083068,11.316227149963378,5.905917739868164,13.125302982330322
29,0.4,0.1,21.507510566711428,13.13774948120117,22.10400152206421,8.004390430450439,5.094710367918014,13.694754981994627,7.0479399204254145,11.003707575798035
30,0.5,0.1,22.234568023681643,12.653490161895753,20.401411628723142,7.4039411544799805,6.161248183250427,13.682112884521485,7.5750829696655275,8.330074667930603
31,0.6,0.1,21.901000404357912,11.43298168182373,18.659896564483642,7.42986717224121,10.762010431289672,12.750497722625731,8.050403785705566,4.90185763835907
32,0.7,0.1,21.234974670410157,11.313294315338135,18.520896434783936,9.5876935005188,16.74218578338623,13.695758342742918,8.15012068748474,5.823524713516235
33,0.8,0.1,25.957394313812255,12.719911289215087,16.712788105010986,16.411392831802367,19.64925765991211,18.113829374313354,11.4040620803833,10.326750421524048
34,0.2,0.2,21.707755851745606,12.030479717254638,19.684057331085203,10.903852081298828,5.720800590515137,10.138196277618409,6.320755386352539,14.749713850021362
35,0.2,0.3,25.843395614624026,16.904650306701658,16.065874767303466,11.803944396972657,8.083336925506591,10.976272392272948,7.8935675621032715,16.19029335975647
36,0.2,0.4,31.25360813140869,12.776006412506103,13.97790946960449,11.713347148895263,9.9889723777771,11.405998802185058,9.499900245666502,19.911350059509278
37,0.2,0.5,31.231896781921385,12.353175830841064,12.447192287445068,11.117758560180663,10.371236991882325,11.375340938568113,10.35154037475586,23.192082023620607
38,0.2,0.6,14.446560430526734,10.639294052124024,11.19697856903076,10.154454708099365,3.86061429977417,10.444249248504638,9.546043109893798,11.708719253540039
39,0.2,0.7,5.09211790561676,11.976235008239746,14.534832668304443,3.2208220958709717,8.692435693740844,6.1709085464477536,7.394433689117431,17.154784202575684
40,0.3,0.2,24.54040641784668,13.067724514007567,16.960383319854735,10.31688985824585,6.32841420173645,11.810260009765626,7.284150218963623,13.33844051361084
41,0.4,0.2,29.8490966796875,13.159969902038574,15.575064754486085,9.83097801208496,7.724133682250977,12.432325077056884,8.383824777603149,12.714091300964355
42,0.5,0.2,30.833126640319826,12.248084354400635,13.633150672912597,9.718717479705811,9.192686891555786,12.49112787246704,9.018422698974609,8.365039962530135
43,0.6,0.2,17.529276943206785,10.605339527130125,10.00803165435791,9.279619026184081,2.7206812262535096,12.278603839874267,9.696452522277832,5.5009267091751095
44,0.7,0.2,9.951034975051881,12.016488552093504,10.7341543674469,3.8885976552963255,13.555192756652833,14.997729682922362,11.0210693359375,8.031525993347168
45,0.3,0.3,33.364085578918456,13.133283901214599,14.238974189758302,11.076448440551758,9.70922918319702,12.081401824951172,8.948107814788818,17.752663803100585
46,0.3,0.4,35.54912490844726,12.790784072875976,11.913886737823486,11.139571285247804,11.43195447921753,12.046245765686036,10.423982906341553,23.05510215759277
47,0.3,0.5,22.672650718688963,11.105371189117433,9.370560264587402,10.463919734954835,5.954595470428466,11.47512273788452,10.493461227416992,18.786905097961426
48,0.3,0.6,5.799633646011352,10.708491945266724,11.414235687255859,3.351780080795288,6.112390613555908,9.17763319015503,9.1604642868042,10.145062953233719
49,0.4,0.3,35.47211742401123,12.727261161804199,11.532178592681884,10.707748222351073,11.297571945190429,12.303338336944579,10.029783821105957,15.266430068016051
50,0.5,0.3,24.337136268615723,10.905471897125244,7.9357507705688475,10.01245927810669,5.759086799621582,11.883883953094482,10.495913982391357,9.274314785003662
51,0.6,0.3,6.346156787872315,10.929058742523193,7.6388363361358635,3.294636583328247,8.092684459686279,13.088294124603271,10.957865810394287,6.932845401763916
52,0.4,0.4,26.450392723083493,11.214857482910157,8.030142641067505,10.505824470520018,6.610281276702881,11.91148853302002,10.869889831542968,16.11996464729309
53,0.4,0.5,5.833321475982666,10.116549682617187,8.408381032943725,3.5413105964660647,5.658094596862793,11.027662754058838,10.487741374969483,8.642008829116822
54,0.5,0.4,5.753874921798706,10.33143949508667,7.1104172706604,3.534918975830078,5.755424976348877,12.047340297698975,10.808753490447998,6.999766445159912
