Element,Eea,I1,Tm,AN,MR,VEC,sVEC,pVEC,dVEC,XP,Cp,K,Hf ,Tb
Ag,1.304,7.576,1234.93,47,0.1445,11,1,0,10,1.93,25.35,429,11.3,2435.15
Al,0.4328,5.986,933.47,13,0.1432,3,2,1,0,1.61,24.2,237,10.79,2792.15
Au,2.309,9.226,1337.33,79,0.1442,11,1,0,10,2.54,25.418,317,12.55,3129.15
B,0.28,8.298,2349.15,5,0.082,3,2,1,0,2.04,11.087,27,50.2,4200.15
Be,-0.5,9.322,1560.15,4,0.1128,2,2,0,0,1.57,16.443,200,12.2,2742.15
C,1.262,11.26,3823.15,6,0.0773,4,2,2,0,2.55,8.517,129,117,4300.15
Ca,0.025,6.113,1115.15,20,0.1976,2,2,0,0,1,25.929,200,8.54,1757.15
Ce,0.57,5.539,1068.15,58,0.1825,3,2,0,1,1.12,26.94,11.4,5.46,3716.15
Co,0.662,7.881,1768.15,27,0.1251,9,2,0,7,1.88,24.81,100,16.19,3200.15
Cr,0.676,6.766,2180.15,24,0.1249,6,1,0,5,1.66,23.35,93.7,16.9,2944.15
Cu,1.236,7.726,1357.77,29,0.1278,11,1,0,10,1.9,24.44,401,13.05,2835.15
Dy,0.352,5.939,1680.15,66,0.1774,3,2,0,1,1.22,27.7,10.7,11.06,2840.15
Er,0.312,6.101,1802.15,68,0.1756,3,2,0,1,1.24,28.12,14.3,19.9,3503.15
Fe,0.153,7.903,1811.15,26,0.1241,8,2,0,6,1.83,25.1,80.2,13.8,3134.15
Ga,0.43,5.999,302.9146,31,0.1392,3,2,1,0,1.81,25.86,40.6,5.59,2477.15
Gd,0.137,6.15,1585.15,64,0.1801,3,2,0,1,1.2,37.03,10.6,10.05,3546.15
Ge,1.233,7.899,1211.4,32,0.124,4,2,2,0,2.01,23.222,59.9,36.94,3106.15
Hf,0.178,6.825,2506.15,72,0.1578,4,2,0,2,1.3,25.73,23,24.06,4876.15
La,0.55,5.577,1193.15,57,0.1879,3,2,0,1,1.1,27.11,13.5,6.2,3737.15
Li,0.618,5.392,453.69,3,0.1519,1,1,0,0,0.98,24.86,84.7,3,1615.15
Lu,0.239,5.426,1925.15,71,0.1735,3,2,0,1,1.27,26.86,16.4,18.6,3675.15
Mg,-0.4,7.646,923.15,12,0.1601,2,2,0,0,1.31,24.869,156,8.954,1363.15
Mn,-0.5,7.434,1519.15,25,0.135,7,2,0,5,1.55,26.32,7.82,12.05,2334.15
Mo,0.747,7.092,2896.15,42,0.1363,6,1,0,5,2.16,24.06,138,32,4912.15
Nb,0.917,6.759,2750.15,41,0.1429,5,1,0,4,1.6,24.6,53.7,26.4,5017.15
Nd,1.916,5.525,1297.15,60,0.164,3,2,0,1,1.14,27.45,16.5,7.14,3347.15
Ni,1.157,7.64,1728.15,28,0.1246,10,2,0,8,1.91,26.07,90.7,17.47,3186.15
Pd,0.562,8.337,1828.05,46,0.1375,10,0,0,10,2.2,25.98,71.8,17.6,3236.15
Pr,0.962,5.47,1208.15,59,0.165,3,2,0,1,1.13,27.2,12.5,6.89,3793.15
Si,1.39,8.152,1687.15,14,0.1153,4,2,2,0,1.9,19.789,148,50.55,3538.15
Sn,1.112,7.344,505.08,50,0.162,4,2,2,0,1.96,27.112,66.6,7.029,2875.15
Sr,0.052,5.695,1050.15,38,0.2152,2,2,0,0,0.95,26.4,35.3,8.3,1655.15
Ta,0.323,7.55,3290.15,73,0.143,5,2,0,3,1.5,25.36,57.5,31.6,5731.15
Tb,1.165,5.864,1629.15,65,0.1781,3,2,0,1,1.21,28.91,11.1,10.8,3503.15
Ti,0.076,6.828,1941.15,22,0.1462,4,2,0,2,1.54,25.06,21.9,15.45,3560.15
Tm,1.029,6.184,1818.15,69,0.156,3,2,0,1,1.25,27.03,16.8,16.84,2223.15
V,0.528,6.746,2183.15,23,0.1316,5,2,0,3,1.63,24.89,30.7,20.9,3680.15
W,0.816,7.864,3695.15,74,0.1367,6,2,0,4,2.36,24.27,174,35.4,5930.15
Y,0.307,6.217,1799.15,39,0.1802,3,2,0,1,1.22,26.53,17.2,11.4,3609.15
Yb,-0.02,6.254,1097.15,70,0.17,3,2,0,1,1.26,26.74,34.9,7.66,1469.15
Zn,-0.6,9.394,692.68,30,0.1395,12,2,0,10,1.65,25.39,116,7.322,1180.15
Zr,0.43328,6.634,2128.15,40,0.1603,4,2,0,2,1.33,25.36,22.7,16.9,4682.15